"1.01";"Punción cisternal";"";"";"";"";"4";""
"1.02";"Punción ventricular a través de catéter previamente implanta";"";"";"";"";"4";""
"1.09";"Otra punción craneal";"";"";"";"";"4";""
"1.11";"Biopsia percutánea de meninges cerebrales";"";"";"";"";"4";""
"1.12";"Biopsias de meninges cerebrales abiertas";"";"";"";"";"4";""
"1.13";"Biopsia percutánea, aguja, de cerebro cerrada";"";"";"";"";"4";""
"1.14";"Biopsias de cerebro abierta";"";"";"";"";"4";""
"1.15";"Biopsia de cráneo";"";"";"";"";"4";""
"1.18";"Otros procedimient. diagnóst. sobre cerebro y meninges cerebr";"";"";"";"";"4";""
"1.19";"Otros procedimientos diagnósticos sobre el cráneo";"";"";"";"";"4";""
"1.21";"Incisión y drenaje de seno craneal";"";"";"";"";"4";""
"1.22";"Extracción de neuroestimulador intracraneal";"";"";"";"";"4";""
"1.23";"Reapertura de craneotomía";"";"";"";"";"4";""
"1.24";"Otras craneotomías";"";"";"";"";"4";""
"1.25";"Otras craniectomías";"";"";"";"";"4";""
"1.31";"Incisión de meninges cerebrales";"";"";"";"";"4";""
"1.32";"Lobotomía y tractotomía";"";"";"";"";"4";""
"1.39";"Otras incisiones cerebrales";"";"";"";"";"4";""
"1.41";"Operaciones sobre tálamo";"";"";"";"";"4";""
"1.42";"Operaciones sobre globo pálido";"";"";"";"";"4";""
"1.51";"Escisión de lesión o tejido de meninges cerebrales";"";"";"";"";"4";""
"1.52";"Hemisferectomía";"";"";"";"";"4";""
"1.53";"Lobectomía cerebral";"";"";"";"";"4";""
"1.59";"Otras escisiones o destrucciones de lesión o tejido cerebral";"";"";"";"";"4";""
"1.60";"Escisión de lesión craneal";"";"";"";"";"4";""
"2.01";"Apertura de sutura craneal";"";"";"";"";"4";""
"2.02";"Elevación de fragmentos de fractura de cráneo";"";"";"";"";"4";""
"2.03";"Formación de pliegue de hueso craneal";"";"";"";"";"4";""
"2.04";"Injerto óseo de cráneo";"";"";"";"";"4";""
"2.05";"Colocación de placa craneal";"";"";"";"";"4";""
"2.06";"Otras osteoplastias craneales";"";"";"";"";"4";""
"2.07";"Extracción de placa craneal";"";"";"";"";"4";""
"2.11";"Sutura simple de duramadre cerebral";"";"";"";"";"4";""
"2.12";"Otras reparaciones de meninges cerebrales";"";"";"";"";"4";""
"2.13";"Ligadura de vaso meníngeo";"";"";"";"";"4";""
"2.14";"Plexectomía coroidea";"";"";"";"";"4";""
"2.20";"Ventriculostomía";"";"";"";"";"4";""
"2.31";"Derivación ventricular a estructuras en cabeza y cuello";"";"";"";"";"4";""
"2.32";"Derivación ventricular al aparato circulatorio";"";"";"";"";"4";""
"2.33";"Derivación ventricular a la cavidad torácica";"";"";"";"";"4";""
"2.34";"Derivación ventricular a la cavidad y órganos abdominales";"";"";"";"";"4";""
"2.35";"Derivación ventricular al aparato urinario";"";"";"";"";"4";""
"2.39";"Otras operaciones para establecer drenajes de ventrículo";"";"";"";"";"4";""
"2.41";"Irrigación de derivación ventricular";"";"";"";"";"4";""
"2.42";"Sustitución de derivación ventricular";"";"";"";"";"4";""
"2.43";"Extracción de derivación ventricular";"";"";"";"";"4";""
"2.91";"Lisis de adherencias corticales";"";"";"";"";"4";""
"2.92";"Reparación cerebral";"";"";"";"";"4";""
"2.93";"Implantación de neuroestimulador intracraneal";"";"";"";"";"4";""
"2.94";"Colocación o sustitución de compás o de halo craneal";"";"";"";"";"4";""
"2.95";"Extracción de compás o halo craneal";"";"";"";"";"4";""
"2.96";"Inserción de electrodos esfenoidales";"";"";"";"";"4";""
"2.99";"Otra operación sobre cráneo, cerebro y meninges cerebrales";"";"";"";"";"4";""
"3.01";"Extracción de cuerpo extraño del canal espinal";"";"";"";"";"4";""
"3.02";"Reapertura de sitio de laminectomía";"";"";"";"";"4";""
"3.09";"Otra exploración y descompresión del canal espinal";"";"";"";"";"4";""
"3.10";"División de raíz de nervio intraespinal";"";"";"";"";"4";""
"3.21";"Cordotomía percutánea";"";"";"";"";"4";""
"3.29";"Otra cordotomía";"";"";"";"";"4";""
"3.31";"Punción espinal";"";"";"";"";"4";""
"3.32";"Biopsia de medula espinal o meninges espinales";"";"";"";"";"4";""
"3.39";"Otros proced. diagn. sobre la medul. espin. y estruc. del canal e";"";"";"";"";"4";""
"3.40";"Escisión o destrucción lesión médula espinal/meninges espina";"";"";"";"";"4";""
"3.51";"Reparación de meningocele espinal";"";"";"";"";"4";""
"3.52";"Reparación de mielomeningocele espinal";"";"";"";"";"4";""
"3.53";"Reparación de fractura vertebral";"";"";"";"";"4";""
"3.59";"Otras oper. de repar. y plastic. sobre estruc. del canal esp";"";"";"";"";"4";""
"3.60";"Lisis de adherencias médula espinal y raíces nervios espinal";"";"";"";"";"4";""
"3.71";"Derivación subaracnoide-peritoneal espinal";"";"";"";"";"4";""
"3.72";"Derivación subaracnoide-ureteral espinal";"";"";"";"";"4";""
"3.79";"Otra derivación de teca espinal";"";"";"";"";"4";""
"3.80";"Inyección de agente destructivo en el canal espinal";"";"";"";"";"4";""
"3.90";"Inserción catéter cond. espinal para inf. sust. terap. y paliati";"";"";"";"";"4";""
"3.91";"Inyección de anestésico en canal espinal para analgesia";"";"";"";"";"4";""
"3.92";"Inyección de otro agente en canal espinal";"";"";"";"";"4";""
"3.93";"Colocación o sustitución de neuroestimulador espinal";"";"";"";"";"4";""
"3.94";"Extracción de neuroestimulador espinal";"";"";"";"";"4";""
"3.95";"Parche hemático espinal";"";"";"";"";"4";""
"3.96";"Denervación percutánea de faceta";"";"";"";"";"4";""
"3.97";"Revisión de derivación de teca espinal";"";"";"";"";"4";""
"3.98";"Extracción de derivación de teca espinal";"";"";"";"";"4";""
"3.99";"Otras operaciones sobre medula espinal ncoc";"";"";"";"";"4";""
"4.01";"Escisión de neuroma acústico";"";"";"";"";"4";""
"4.02";"Sección de nervio trigémino";"";"";"";"";"4";""
"4.03";"Sección aplastamiento de otros nervios craneales y periferic";"";"";"";"";"4";""
"4.04";"Otras incisiones de nervios craneales y periféricos";"";"";"";"";"4";""
"4.05";"Ganglionectomía de Gasser";"";"";"";"";"4";""
"4.06";"Otras ganglionectomías craneales o periféricas";"";"";"";"";"4";""
"4.07";"Otras escisiones o evulsiones de nervios craneales o perifer";"";"";"";"";"4";""
"4.11";"Biopsia percutánea de nervio o ganglio craneal o simpático";"";"";"";"";"4";""
"4.12";"Biopsia abierta de nervio o ganglio craneal o periférico";"";"";"";"";"4";""
"4.19";"Otros proc. diagn. Sobre nervios y ganglios craneales y peri";"";"";"";"";"4";""
"4.20";"Destrucción de nervios craneales y perifericos";"";"";"";"";"4";""
"4.30";"Sutura de nervios craneales y perifericos";"";"";"";"";"4";""
"4.41";"Decompresión de raiz de nervio trigemino";"";"";"";"";"4";""
"4.42";"Decompresión de otro nervio craneal";"";"";"";"";"4";""
"4.43";"Liberación de túnel carpiano";"";"";"";"";"4";""
"4.44";"Liberación de túnel tarsal";"";"";"";"";"4";""
"4.49";"Otra descompr. o lisis de adherenc. de nervio o ganglio perif";"";"";"";"";"4";""
"4.50";"Injerto de nervio craneal o periferico";"";"";"";"";"4";""
"4.60";"Transposición de nervios craneales y perifericos";"";"";"";"";"4";""
"4.71";"Anastomosis hipogloso-facial";"";"";"";"";"4";""
"4.72";"Anastomosis accesorio-facial";"";"";"";"";"4";""
"4.73";"Anastomosis accesorio-hipoglosa";"";"";"";"";"4";""
"4.74";"Otra anastomosis de nervio craneal o periférico";"";"";"";"";"4";""
