"001";"COLERA";;;;;;;"3";;;
"10";"COLERA DA VIBRIO CHOLERAE";;;;;;;"4";;;
"0011";"COLERA DA VIBRIO CHOLERAE EL TOR";;;;;;;"4";;;
"0019";"COLERA NON SPECIFICATO";;;;;;;"4";;;
"002";"FEBBRE TIFOIDE E PARATIFOIDE";;;;;;;"3";;;
"0020";"FEBBRE TIFOIDE";;;;;;;"4";;;
"0021";"PARATIFO A";;;;;;;"4";;;
"0022";"PARATIFO B";;;;;;;"4";;;
"0023";"PARATIFO C";;;;;;;"4";;;
"0029";"PARATIFO NON SPECIFICATO";;;;;;;"4";;;
"003";"ALTRE INFEZIONI DA SALMONELLA";;;;;;;"3";;;
"0030";"GASTROENTERITE DA SALMONELLA";;;;;;;"4";;;
"0031";"SETTICEMIA DA SALMONELLA";;;;;;;"4";;;
"0032";"INFEZIONI LOCALIZZATE DA SALMONELLA";;;;;;;"3";;;
"00320";"INFEZIONI LOCALIZZATE DA SALMONELLA, NON SPECIFICATE";;;;;;;"4";;;
"00321";"MENINGITE DA SALMONELLA";;;;;;;"4";;;
"00322";"POLMONITE DA SALMONELLA";;;;;;;"4";;;
"00323";"ARTRITE DA SALMONELLA";;;;;;;"4";;;
"00324";"OSTEOMIELITE DA SALMONELLA";;;;;;;"4";;;
"00329";"ALTRE INFEZIONI LOCALIZZATE DA SALMONELLA";;;;;;;"4";;;
"0038";"ALTRE INFEZIONI SPECIFICHE DA SALMONELLA";;;;;;;"4";;;
"0039";"INFEZIONI DA SALMONELLA NON SPECIFICATE";;;;;;;"4";;;
"004";"SHIGELLOSI";;;;;;;"3";;;
"0040";"SHIGELLA DYSENTERIAE";;;;;;;"4";;;
"0041";"SHIGELLA FLEXNERI";;;;;;;"4";;;
"0042";"SHIGELLA BOYDII";;;;;;;"4";;;
"0043";"SHIGELLA SONNEI";;;;;;;"4";;;
"0048";"ALTRE INFEZIONI SPECIFICHE DA SHIGELLA";;;;;;;"4";;;
"0049";"SHIGELLOSI NON SPECIFICATA";;;;;;;"4";;;
"005";"ALTRE INTOSSICAZIONI ALIMENTARI (BATTERICHE)";;;;;;;"3";;;
"0050";"INTOSSICAZIONE ALIMENTARE DA STAFILOCOCCO";;;;;;;"4";;;
"0051";"BOTULISMO";;;;;;;"4";;;
"0052";"INTOSSICAZIONE ALIMENTARE DA CLOSTRIDIUM PERFRINGENS (C. WELCHII)";;;;;;;"4";;;
"0053";"INTOSSICAZIONE ALIMENTARE DA ALTRI CLOSTRIDI";;;;;;;"4";;;
"0054";"INTOSSICAZIONE ALIMENTARE DA VIBRIO PARAHAEMOLYTICUS";;;;;;;"4";;;
"0058";"ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE";;;;;;;"3";;;
"00581";"INTOSSICAZIONE ALIMENTARE DA VIBRIO VULNIFICUS";;;;;;;"4";;;
"00589";"ALTRE INTOSSICAZIONI ALIMENTARI BATTERICHE";;;;;;;"4";;;
"0059";"INTOSSICAZIONE ALIMENTARE NON SPECIFICATA";;;;;;;"4";;;
"006";"AMEBIASI";;;;;;;"3";;;
"0060";"DISSENTERIA AMEBICA ACUTA SENZA MENZIONE DI ASCESSO";;;;;;;"4";;;
"0061";"AMEBIASI INTESTINALE CRONICA SENZA MENZIONE DI ASCESSO";;;;;;;"4";;;
"0062";"COLITE AMEBICA NON DISSENTERICA";;;;;;;"4";;;
"0063";"ASCESSO AMEBICO DEL FEGATO";;;;;;;"4";;;
"0064";"ASCESSO AMEBICO DEL POLMONE";;;;;;;"4";;;
"0065";"ASCESSO AMEBICO DELL'ENCEFALO";;;;;;;"4";;;
"0066";"ULCERA AMEBICA DELLA PELLE";;;;;;;"4";;;
"0068";"INFEZIONE AMEBICA DI ALTRE SEDI";;;;;;;"4";;;
"0069";"AMEBIASI NON SPECIFICATA";;;;;;;"4";;;
"007";"ALTRE MALATTIE INTESTINALI DA PROTOZOI";;;;;;;"3";;;
"0070";"BALANTIDIASI";;;;;;;"4";;;
"0071";"GIARDIASI";;;;;;;"4";;;
"0072";"COCCIDIOSI";;;;;;;"4";;;
"0073";"TRICOMONIASI INTESTINALE";;;;;;;"4";;;
"0074";"Criptosporidiosi";;;;;;;"4";;;
"0075";"Ciclosporiasi";;;;;;;"4";;;
"0078";"ALTRE MALATTIE INTESTINALI DA PROTOZOI";;;;;;;"4";;;
"0079";"MALATTIA INTESTINALE NON SPECIFICATA DA PROTOZOI";;;;;;;"4";;;
"008";"INFEZIONI INTESTINALI DA ALTRI ORGANISMI";;;;;;;"3";;;
"0080";"INFEZIONE INTESTINALE DA ESCHERICHIA COLI";;;;;;;"3";;;
"00800";"INFEZIONE INTESTINALE DA ESCHERI CHIA COLI NON SPECIFICATO";;;;;;;"4";;;
"00801";"INFEZIONE INTESTINALE DA ESCHERI CHIA COLI ENTEROPATOGENO";;;;;;;"4";;;
"00802";"INFEZIONE INTESTINALE DA ESCHERI CHIA COLI ENTEROTOSSICO";;;;;;;"4";;;
"00803";"INFEZIONE INTESTINALE DA ESCHERI CHIA COLI ENTEROINVASIOA";;;;;;;"4";;;
"00804";"INFEZIONE INTESTINALE DA ESCHERI CHIA COLI ENTEROEMORRAGICO";;;;;;;"4";;;
"00809";"ALTRE INFEZIONI INTESTINALI DA ESCHE RICHIA COLI";;;;;;;"4";;;
"0081";"INFEZIONE INTESTINALE DA BACILLI PARACOLICI DEL GRUPPO ARIZONA";;;;;;;"4";;;
"0082";"INFEZIONE INTESTINALE DA AEROBACTER AEROGENES";;;;;;;"4";;;
"0083";"INFEZIONE INTESTINALE DA PROTEUS (MIRABILIS) (MORGANII)";;;;;;;"4";;;
"0084";"INFEZIONE INTESTINALE DA ALTRI BATTERI SPECIFICATI";;;;;;;"3";;;
"00841";"INFEZIONE INTESTINALE DA STAFILOCOC CO";;;;;;;"4";;;
"00842";"INFEZIONE INTESTINALE DA PSEUDO MONAS";;;;;;;"4";;;
"00843";"INFEZIONE INTESTINALE DA CAMPYLO BACTER";;;;;;;"4";;;
"00844";"INFEZIONE INTESTINALE DA YERSINIA ENTEROCOLITICA";;;;;;;"4";;;
"00845";"INFEZIONE INTESTINALE DA CLOSTRIDI UM DIFFICILE";;;;;;;"4";;;
"00846";"INFEZIONE INTESTINALE DA ALTRI ANAEROBI";;;;;;;"4";;;
"00847";"INFEZIONE INTESTINALE DA ALTRI BATTERI GRAM-NEGATIVI";;;;;;;"4";;;
